,dy_obs,dy_obs_level,dc_obs,dc_obs_level,dinv_obs,dinv_obs_level,dx_obs,dx_obs_level,dm_obs,dm_obs_level,pi_obs,pi_obs_level,dw_obs,dw_obs_level,dh_obs,dh_obs_level,i_R_obs,i_R_obs_level,i_3m_obs,i_3m_obs_level,ds_obs,ds_obs_level,dpO_obs,dpO_obs_level,u_obs,dyS_obs,dyS_obs_level,db_obs,db_obs_level,covid_flag
2011Q3,-0.20604857729418513,13.561387045039758,-0.4691065344282962,12.863950097507807,1.4196527923451234,12.348144960416443,1.658810524376938,13.147141839968022,0.6560344082952677,12.651360849425329,-5.069608595771205,4.532957851874167,,,-0.9390218894413727,4.423648309364701,-0.1233152211801718,2.25,,,-1.19558934916994,2.049652798231111,-4.101629771357477,4.729466006147688,-0.4963871208791204,0.6034484974780085,0.7352372702342236,-0.5503623188405813,0.06921506902147312,0
2011Q4,-0.030105198343635786,13.567315829783205,0.18775186868175375,12.873750724610263,0.3110516465485397,12.359518791517456,-2.044635277327204,13.130119222927032,2.9743308397346606,12.690022324970748,-1.0680120283944965,4.53617731450114,,,-1.7801527965814812,4.418840607796598,-0.1447995961801718,2.1640625,0.06314685760580557,2.15703125,-0.5112983029652964,2.049006496274356,-4.246683471288308,4.695201058848082,-0.4524351208791204,-0.11523320170191534,0.016555571054299723,-0.5170289855072481,0.0695260626486103,0
2012Q1,1.7162464967075601,13.590708131477163,1.1598340794315787,12.893272173820217,0.9070750324586335,12.37685285647757,3.054952171796684,13.164092480377281,-0.5954864669307743,12.692985627449513,-0.21865931498560576,4.541520158911635,0.45631777605456136,6.156978985585555,2.2512862059196994,4.454347296253507,-0.25985368271863335,1.7038461538461538,-0.0537648010480406,1.6893846153846155,-2.705922660046828,2.026413950746786,7.328603255715545,4.776688978818514,-0.5725131208791203,0.028246061056725863,0.16003483381294092,-0.5170289855072481,0.0695260626486103,0
2012Q2,-0.4024860694203076,13.592913107509842,0.0733371665181749,12.901928653901036,0.18645326925245842,12.386980703805621,0.05277337867393922,13.168043949896303,0.7858071036146422,12.709761865633732,-1.5041289079012947,4.543649329339841,,,1.9045527346904778,4.486386649998124,,,,,,,-10.507868403954049,4.679812182192251,-0.5724961208791206,-0.23175929806772969,-0.09997052531151462,-0.7503623188405824,0.06734707345961001,0
2012Q3,-0.0351617790776777,13.598791326445948,-0.20042618761973763,12.907847500440477,3.46039787753409,12.42984799721649,-2.574135973331907,13.145726325895266,-1.4718077953974191,12.70396195482783,-5.201771375938838,4.536534393597953,,,-0.73789885133826,4.492001487882454,-0.3108152211801718,1.5,-0.10426480104804065,1.4873846153846153,-3.0621751092948015,2.000258880726736,0.9082511260538901,4.6970965808660665,-0.6218011208791205,-0.15098593080710934,-0.01919715805089428,-0.6170289855072477,0.06859279146561167,0
2012Q4,0.004363422729644517,13.605064797400127,-0.6380179144952124,12.909390429711163,3.5183012552942166,12.473294324404959,-0.5633988287812397,13.143516073339736,-1.1559557543110461,12.701320564432793,2.3292609170232432,4.54824703858847,,,-1.9735424964631554,4.485259889315534,-0.3108152211801718,1.5,-0.10055539933863894,1.5022222222222221,-0.7823807851399636,1.9969017539482345,-0.34752545109856636,4.701823213768358,-0.3202261208791204,-0.9288950613529712,-0.7971062885967561,-0.5503623188405813,0.06921506902147312,0
2013Q1,0.49280496147441055,13.616222683741753,1.70513994312397,12.93436493755804,-4.712706074354637,12.43443057829694,-1.6495173175201583,13.130444635896817,2.6470988501962704,12.736709720082828,-0.1038558743553657,4.553876891600541,0.1874109756628286,6.195629131824389,1.6991762746858308,4.515245478460105,-0.3108152211801718,1.5,-0.09984046309091577,1.5050819672131148,0.38440679081164747,2.005212502929249,1.2424289857810706,4.722449391039445,-0.1763881208791207,-1.0385429411739378,-0.9067541684177227,-0.45036231884058164,0.07014775990208176,0
2013Q2,-0.6029689300548731,13.616422831168087,-0.4718077875087133,12.937569968098591,3.9444870314698526,12.482138763247166,0.9085557871239291,13.142953929500338,0.4410143652542312,12.750038030883443,1.2767811521128132,4.562958337178782,,,1.3991081356400359,4.542230386214217,-0.3108152211801718,1.5,-0.10256928822752776,1.4941666666666669,2.0469254555662006,2.0301484385578092,-10.015758137160372,4.630493697081119,-0.2174761208791205,-0.8229855393094632,-0.6911967665532481,-0.21702898550724825,0.07232066157962608,0
2013Q3,0.2148856529237102,13.624801524424207,-0.19764998670187317,12.94351657664721,0.27049303806027825,12.493107008263296,0.25088434619245586,13.148886508694545,0.3876733795653545,12.76283293182717,-1.106013038678602,4.566082797280044,,,-3.2349269350668184,4.522874943261261,-0.3108152211801718,1.5,-0.10421701550025508,1.4875757575757576,3.607326255784776,2.070688382188555,6.386074998314036,4.702556334477536,-0.22910312087912033,-0.604498176557785,-0.47270940380157,-0.5503623188405813,0.06921506902147312,0
2013Q4,0.027146230391414283,13.631302823455004,-0.6140508598330684,12.945299176464518,-0.43160544255865074,12.497054268473237,-1.6073548089991985,13.136236696336836,-1.0202652011212638,12.76154844696403,-0.419417087401333,4.5709237472595,,,-4.051344967808857,4.4953553199808844,-0.3108152211801718,1.5,-0.09940460568784532,1.5068253968253966,3.319974949545018,2.1083548127569034,-1.7335372336467685,4.693422849554345,-0.26448412087912043,-0.5355192568916756,-0.40373048413546053,-0.6503623188405818,0.06828150741640554,0
2014Q1,-0.1553156088940162,13.635979504092946,0.7741536294314201,12.96096382117447,-2.0046247475258334,12.485271335633506,2.9632331711921,13.169292763781039,-2.58996772686171,12.744566936843485,-0.8409045816305443,4.574710978503383,-3.2259631165671863,6.225745842832648,1.0173232883823091,4.51852237926242,-0.3108152211801718,1.5,-0.10555539933863894,1.482222222222222,0.909210883296546,2.121913602662767,-1.818015522801734,4.683444581739605,-0.17895012087912043,-0.5197170483941516,-0.3879282756379365,-0.9170289855072484,0.06578774053800315,0
2014Q2,0.18614384600647838,13.644070779279893,-0.029730305968276194,12.968589626530425,0.06862090521643938,12.494220859321198,-0.48407048399713776,13.16787579467335,2.0542745395532673,12.77402784938709,0.38393965904631466,4.581560320348958,,,2.446373613718821,4.55597994179732,,,,,,,0.6048771777446078,4.697695240930328,-0.4554311208791204,-0.5770661145433043,-0.4452773417870892,-1.0503623188405813,0.06453852113757116,0
2014Q3,-0.4058775012665967,13.64624184099411,-0.6494335297355079,12.970018399648708,-2.063757704914297,12.481846596907582,0.4255737910689194,13.175555268316321,2.9236068581434775,12.812182085116598,-0.041684788550858,4.58734560107554,,,-1.1943957534875216,4.557029810660157,-0.3108152211801718,1.5,-0.10243671246995201,1.4946969696969699,-1.3095588549934147,2.113284695185731,-8.19067214821462,4.623990406861458,-0.03561612087912058,-0.3496818773547872,-0.21789310459857214,-1.1836956521739141,0.06328773923591846,0
